time in hr:min:sec	time in hr:min:sec	annotation
0:11:50	0:12:03	"I don't think critics can help me. I really don't. I feel like I'm really doing the best I can do with what I see my job here to be."
0:12:10	0:12:33	Walker says her "ancestors really like" the way she does her work—and they are "tougher on [her] than critics are. Much."
0:12:19		Walker laughs.
0:12:50	0:13:30	"I feel very much accountable to literal ancestors, people who have been dead for however long they've been dead. And that to maintain the connection that I feel with them, I have to maintain a certain level of, I don't know, commitment, fidelity, truth."
0:13:54		"How painful it is to realize that you're just almost completely misunderstood."
0:14:12		Walker laughs.
0:13:54	0:16:15	Walker discusses how criticism claiming she hates Black men or that her writing mistreats Black men has led to her being "cut off from a generation of young Black men": And I think this is a tragedy because reading me could've helped them. And I know it."
0:15:48	0:16:15	Walker mentions her support for <a href="https://en.wikipedia.org/wiki/Mumia_Abu-Jamal">Mumia Abu-Jamal</a> and theorizes it has helped repair her image for Black men.
0:16:30		Walker says she did not watch the debate last night (presumably <a href="https://www.debates.org/voter-education/debate-transcripts/october-11-2000-debate-transcript/">the presidential debate</a>).
0:17:04		Walker calls George W. Bush "a madman" for his stance on the death penalty.
0:17:26		Walker expresses support for Green Party candidates Ralph Nader and Winona LaDuke to be "heard".
0:17:53	0:18:10	"Imagine what it would be like, just to have ideas that are different and views that are different... and we're desperate for it. We deserve better. We deserve to hear all kinds of views. We're very varied as a country."
0:18:12		Walker makes a sound of frustration.
0:18:18	0:18:59	Walker continues voicing support for Ralph Nader.
0:19:01		"All those people who really think we're living in a democracy!"
0:19:11		Walker expresses some support for Al Gore.
0:19:45	0:20:10	On being interrupted by a fan: "I get it often; I'm so glad—I love to see—I even feel like I can identify, maybe it's just because they come up to me, but sometimes I feel I can tell the people who've read my work because they seem a little freer. They seem a little less burdened by the crap. And I like that."
0:20:52		Gussow brings up another interview Walker gave to <a href="https://en.wikipedia.org/wiki/Eleanor_Wachtel">Eleanor Wachtel</a>.
0:21:29	0:21:42	"Many people are unable to face their identity, especially as it changes. It's not fixed; it changes. So you're asked to continually reassess what it is."
0:21:45	0:22:44	When asked to describe herself: "Well, a few of the things I know about myself is that I'm tri-racial—African American, Native American, and Euro, you know the Scotch-Irish part—probably tri-spiritual as well. I was raised as a Christian and now I love Buddhism and I love earth religion... and I also love both women and men. And trees."
0:22:44		Walker laughs.
0:22:58	0:23:17	"I think one of the reasons that I love Buddhism is because one of its primary observations is that there is no self... we think there's a self... what you think of as yourself is always changing."
0:23:26	0:23:38	"The way other people see you, the way they need to classify you—people, unfortunately, just get stuck there, trying to pin down something that's really always moving."
0:23:46		"I love watching myself change."
0:23:58	0:25:00	Walker describes the significance of dreams as a signal to expand or grow: "You will start to dream about houses, and you'll be in a house, and suddenly you'll go through a door and there'll be a couple rooms you never knew you had in your house."
0:24:26		Walker laughs.
0:24:41		Walker insists her dream interpretations are not Freudian.
0:25:06		Walker laughs.
0:26:23		Walker shares that she is reading a book by her "dharma teacher" Jack Kornfield (<em>After the Ecstasy, the Laundry</em>).
0:26:39		Walker laughs.
0:27:06	0:27:16	Walker confirms that she sent her ex-husband a copy of <em>The Way Forward Is with a Broken Heart</em> before it was published: "He loved it. Poor thing."
0:27:17		Walker laughs.
0:27:38	0:28:55	Walker explains that both her marriage and her friendship with her ex-husband ended—"and that's the hard part."
0:27:55		"When we were married, his mother sat shiva."
0:29:00		Walker sighs.
0:29:22	0:29:43	Walker says that her ex-husband adopted the speaking mannerisms of Mississippians.
0:29:50	0:30:18	Walker briefly talks about her time at Sarah Lawrence College and how it was good for her writing to be among writers but isolating and difficult as a poor student.
0:30:58		Walker agrees to sign a book for Gussow.
0:31:48	0:33:22	Gussow and Walker discuss a book Gussow published recently, <em>Edward Albee: A Singular Journey</em>.
0:33:20		Walker confesses to being misunderstood by her family in childhood.
0:33:35		Walker says she'll look for Gussow's book because she would like to read it.
0:33:38	0:34:02	Walker and Gussow continue discussing Edward Albee and his work.
0:34:03	0:34:22	Walker expresses that she "tend[s] to be more trusting of" work that has more of a basis in the author's biographic circumstances.
0:34:22	0:35:10	"It really is entrusted to you. I often marvel at the fact that I, coming from this little place in the countryside of Georgia, should actually end up at Sarah Lawrence as the place where I would start learning my craft. How is that? Surely I'm then expected by somebody who's all around me to do something wtih that. Not to honor this passage, gosh, I don't think I would've made it."
0:35:13	0:38:15	Walker compares Sarah Lawrence and Spelman: "At Sarah Lawrence with Muriel Rukeyser, Jane Cooper, and all those people... it just felt more like home in that way. And they weren't afraid of my strangeness, whatever it was."
0:36:45	0:36:58	"When I got to Sarah Lawrence, I realized everyone was already really what they were going to be. The painters were painting, the writers were writing, the dancers were dancing, the singers were singing."
0:37:12	0:38:05	Walker describes her relaitonship with Muriel Rukeyser.
0:38:28		"Well I enjoyed this very much more than I thought I would."
0:38:31		Walker laughs.
0:38:51		Walker mentions her experience interviewing Coretta Scott King after the assassination of Martin Luther King, Jr. She recalls that her recorder didn't work and that she also inadvertently offended King by asking about her husband's talent at dancing.
0:39:00		Walker sighs.
0:40:20	0:41:00	Gussow tells Walker about a recently published book, <em>Einstein in Love</em>, which details his many romantic relationships: "Now we know why his hair was always messed up."
0:40:55		Walker laughs.
