time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
0:16:28	0:17:26	Walker explains why she didn't make <em>The Way Forward Is with a Broken Heart</em>, a story collection, "more novelistic".	Speaker
0:16:52		Walker mentions her relationship with <a href="https://en.wikipedia.org/wiki/Robert_L._Allen">Robert Allen</a>.	Speaker
0:17:27	0:18:28	Walker explains that one story in <em>The Way Forward Is with a Broken Heart</em>, which centers on cuddling, was inspired by events in her own life.	Speaker
0:19:40	0:20:25	Walker explains that the first story in the collection was written nearly last. "The Brotherhood of the Saved" was written last.	Speaker
0:20:05	0:20:24	"I was ready to transform all of this into a story that was just fiction, just art, but with the spirits of my parents and my spirit in it, as we might have been had we done these things."	Speaker
0:20:45	0:23:08	Walker talks about the growth of characters Suni and Anne in <em>The Way Forward Is with a Broken Heart</em>.	Speaker
0:21:12	0:21:20	Walker laughs.	Speaker
0:21:05	0:21:30	Walker explains she is "speaking from experience" when talking about a man living with his wife, his mistress, and his baby.	Speaker
0:23:27	0:23:43	"I'm not sure I want to keep writing. I think that... I feel like this is the end of a 30 year cycle, and it's a really good time for me to think about what I wanna do for another 30 years."	Speaker
0:23:43		Walker laughs.	Speaker
0:23:57	0:24:15	Walker explains that this recent publication "completes" her 30 year cycle.	Speaker
0:24:23	0:25:10	Walker explains that she now studies the dharma and is searching for her "internal imperative".	Speaker
0:25:11	0:25:17	"Everything that I have written in my entire life has felt really—I feel like I had no choice."	Speaker
0:25:17		Walker laughs.	Speaker
0:25:55		Walker clears her throat.	Speaker
0:25:55	0:27:50	Walker explains why writing feels like "mediumship" to her, especially when writing <em>The Color Purple</em>.	Speaker
0:28:00	0:31:29	Walker talks about the "mystical" way that she was inspired to write both <em>The Color Purple</e> and <em>The Temple of My Familiar</em> in a dream. She also describes "hearing" imagined dialogue between "spirits" who would eventually become characters in her books.	Speaker
0:28:22		Walker mentions working as an editor at <em>Ms. Magazine</em>.	Speaker
0:31:40	0:32:10	"I think the foundation of it was love. I love my grandparents, and I loved my parents. It just was heartbreaking to think that somehow they wouldn't survive—that who they were, the way they sounded, wouldn't survive in a form that was really faithful to them and loving of them and not interested in caricature."	Speaker
0:32:29	0:33:13	Walker describes her process of writing <em>The Color Purple</em> as "almost like dictation".	Speaker
0:32:47		Walker mentions an article published in <em>the New York Times Magazine</em> that included photos of the notebook she kept while writing <em>The Color Purple</em>. (This could be the same <a href="https://www.nytimes.com/1984/01/08/magazine/novelist-alice-walker-telling-the-black-woman-s-story.html">David Bradley article</a> mentioned again later.)	Speaker
0:33:38	0:34:02	Walker says that parts of <em>The Color Purple</em> capture the "spirit" of her family's real history, but are not based on real facts in most cases.	Speaker
0:34:02	0:34:52	Walker describes how she wove her grandmother's real life into the novel, while at the same giving her, through fiction, life experiences she never had.	Speaker
0:34:53	0:34:59	Walker explains that her mother never read <em>The Color Purple</em> because she was too ill, but she enjoyed the film adaptation.	Speaker
0:35:51	0:37:00	Walker explains why she says she might stop writing: "I just want the feeling of freedom.... I want it to be more than just writing a book, I want it to mean that I'm connected to creation."	Speaker
0:37:39	0:38:12	"There's actually a real ecstatic side to writing, when you really are in the, sort of in the current, with the rest of creativity in the world. Even when it's really horrible, like writing Possessing the Secret of Joy, which was very difficult, I was so happy that I was alive to write it."	Speaker
0:38:13		Walker laughs.	Speaker
0:38:32		Walker describes herself as "disturbed" by the things she faces in her writing.	Speaker
0:39:20		Walker laughs loudly.	Speaker
0:39:19	0:39:50	Walker talks about the effect fame has had on her life.	Speaker
0:39:49		On writing: "It's kind of like giving birth."	Speaker
0:40:45	0:41:18	"I understand the love of craft, you know, that's also a joy, but what I like is when you get the craft, and you know you have it, you can write a sentence that does what it needs to do, and then you just go. It's like jazz. It just has a life."	Speaker
0:41:26		Walker laughs.	Speaker
0:41:37	0:41:48	"And that's the joy: to create books that are just totally what they are. They dictate everything."	Speaker
0:42:22		Walker laughs.	Speaker
0:42:03	0:42:42	Walker and Gussow discuss <a href="https://www.nytimes.com/1984/01/08/magazine/novelist-alice-walker-telling-the-black-woman-s-story.html">an article written by David Bradley in 1984</e> that critcized her work.	Speaker
0:42:50	0:44:13	Walker explains how the film adaptation changed her life.	Speaker
0:44:25		Walker says she didn't initially like the film adaptation.	Speaker
0:44:36		Walker says she "really loves" Steven Spielberg.	Speaker
0:45:07		"Ooh, yum."	Speaker
0:46:04		Walker laughs.	Speaker
0:46:17	0:46:27	Walker says the film adaptation makes her cry every time she views it.	Speaker
0:46:45	0:47:02	Walker says she contributed to the screenplay although she isn't the true author.	Speaker
0:47:05	0:47:35	Walker says that publishing her own version of a screenplay allowed her to accept the film's deviations from the book.	Speaker
0:47:23		"So much about life is about learning, is lessons and things you can learn from events. You can't control how they come out."	Speaker
0:01:16	0:01:23	Walker leaves to wash her hands.	Environment
0:01:18	0:01:18	Walker's chair scrapes across the ground as she stands up.	Environment
0:02:02	0:02:02	Gussow and Walker clink glasses in a "cheers".	Environment
0:12:24	0:12:32	Gussow and Walker take a moment to look at the menu.	Environment
0:12:43	0:13:06	Gussow and Walker take a moment to look at the menu.	Environment
0:13:06	0:14:06	A waiter tells Gussow and Walker about the day's specials and takes their order.	Environment
0:21:35	0:21:35	The waiter drops off some simple syrup for Walker to use to sweeten the iced tea she ordered.	Environment
0:30:47	0:30:47	A thud, not acknowledged.	Environment
0:37:03	0:37:03	Someone passes gas..?	Environment
0:43:19	0:43:20	Walker thanks a waiter, who says "you're welcome" in reply.	Environment
0:45:07	0:45:07	The food is served.	Environment
0:45:14	0:45:14	A waitress asks if she should remove the bread; Walker confirms she can.	Environment
0:45:36	0:45:50	Prolonged sound of ice moving in a glass—perhaps Walker stirs some sweetener into her tea.	Environment
0:01:24	0:01:24	Gussow appears to pause the tape.	Technology
0:47:33	0:47:33	The tape abruptly stops; it has run out.	Technology
