time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
0:16:26		Walker laughs.	Speaker
0:16:12		Gussow points out references to Mary Tyler Moore and the movie <em>Bridges of Madison County</em> in <em>The Way Forward Is with a Broken Heart</em>.	Speaker
0:16:30		Walker laughs.	Speaker
0:16:53	0:17:36	Walker says that she read "everything" while living in Mississippi. Although her favorite writer is Leo Tolstoy, but she began "discovering" and reading more writing by Black authors while in Mississippi including <em>Their Eyes Were Watching God</em>, <em>Cane</em>.	Speaker
0:17:45		Walker groans.	Speaker
0:17:49	0:18:16	"When I was a student at Spelman, right after my freshman year, I went to Russia. And I was so innocent, I didn't really know hardly what was going on. So when I came back, I took this course with Howard Zinn, who was teaching Russian literature and language—not that he spoke it, really, but he had a few words and he very generously taught it to us."	Speaker
0:18:24	0:18:47	"I used to think that Russian writers, that what they could do was almost unbelievable. Creating worlds, societies, human anguish, passion—and Tolstoy is just a master."	Speaker
0:19:21	0:20:50	"I think the thing is I really fell in love with Tolstoy himself in the same way that I love my grandfather. They were so much alike, which, is, again, ironic, because he was Count Tolstoy and my grandfather was a poor farmer. But in terms of how they grew, very similar. Tolstoy was really a rogue and a devil when he was young. And in fact, one of the sadder things about him is that he raped some of the serfs, the women, who lived on his, basically, his plantation. And he was just a dissolute, irresponsible cad of a person as a young man. And then he started seeing how it all goes, what life is. And he grew and grew and grew until he became this old man who didn't want to own anything, who didn't want to be married and died alone, trying to get away."	Speaker
0:19:30		Walker laughs.	Speaker
0:20:53		"Did you know that when people are dying, they often try to run away?"	Speaker
0:21:04		"I've been getting very interested in dying and death."	Speaker
0:21:04	0:21:34	Walker voices an interest in end of life care and "hospice work".	Speaker
0:22:58	0:22:27	On Tolstoy: "I love him because he could see that he was the whole spectrum. And he was able to write about the whole spectrum from the point of view of someone who had done some really despicable things. Maybe I just like rascals."	Speaker
0:22:28		Walker laughs.	Speaker
0:22:56	0:23:16	Walker says she had no television and no radio for most of her childhood.	Speaker
0:23:22	0:25:00	Walker describes time she spent in the Amazon in May studying "plant medicines" that "change your consciousness", including ayahuasca, "the television of the jungle".	Speaker
0:25:00		Walker says she won't describe the visions she had when she took ayahuasca.	Speaker
0:24:41		Walker laughs.	Speaker
0:25:16		"What I'm learning is that the indigenous take on everything is just so different from the western thought."	Speaker
0:25:28		Walker names <em>Black Elk Speaks</em> as one of her favorites and reflects on the importance of visions in the culture depicted in that book.	Speaker
0:25:05	0:26:35	"When you are given a vision, a great vision—and it's not great in terms of bigger than anybody else's, it's your great vision... your little great vision—you have to act it out. You have to create it so that people can see it and use it. That's how you keep it going. You can't keep it for yourself."	Speaker
0:27:17		Walker says she probably won't return to the Amazon because the trip was very difficult.	Speaker
0:27:22		Walker says she now has "so much empathy" for peoples living in the Amazon.	Speaker
0:28:32	0:28:44	On the rainforest: "It's never quiet. And at night, the frogs are so loud it's like you're living right by a train station. I'd never thought of that."	Speaker
0:28:52		Walker says she doesn't plan to write about her trip to the Amazon.	Speaker
0:28:52		Walker laughs.	Speaker
0:28:55		"In a way it feels so good to keep things for myself."	Speaker
0:29:58		Gussow brings up an article Walker wrote "for <em>the Times</em> about meditation".	Speaker
0:29:28		Walker laughs.	Speaker
0:29:38		Walker laughs.	Speaker
0:29:41	0:30:13	"I'm looking at the liveliness of your eyes, and I think [meditation] would do a lot. You're obviously really alive anyway, but meditation sort of fuels that. It helps it to really stay steady. And it gives you a little time each day to duck out so you can recharge that."	Speaker
0:30:15		Walker coughs.	Speaker
0:30:19		"Tell 'em Alice sent you."	Speaker
0:30:39	0:30:42	"Violence and drugs are both really, in my opinion, really obsolete."	Speaker
0:31:00	0:31:04	"Unless people start charging you for breathing, you can always afford [to meditate]."	Speaker
0:31:10		Walker attributes meditation to Indian and Asian culture.	Speaker
0:31:17		When asked if she hates anyone, Walker says no.	Speaker
0:31:26		Walker laughs.	Speaker
0:31:17	0:37:44	Gussow and Walker discuss hatred.	Speaker
0:32:21	0:34:44	Gussow and Walker discuss amnesty trials in post-apartheid South Africa; Walker says she doesn't think this practice "will work that well" because "it's too deep".	Speaker
0:33:21	0:34:54	Walker talks about her experience viewing the film "Long Night's Journey Into Day".	Speaker
0:34:44		Walker mentions the film "Mississippi Burning".	Speaker
0:34:53	0:35:08	"They're pathetic. That's the answer. I just can't hate people who don't have a clue."	Speaker
0:35:29		"It's an emotional mangling."	Speaker
0:35:49		"I know in this culture people think that this is the only lifetime we're here—I don't think so."	Speaker
0:35:58		Walker laughs.	Speaker
0:35:49	0:37:22	Walker discusses her personal beliefs regarding life and death.	Speaker
0:36:15		Walker laughs.	Speaker
0:37:10		Walker laughs.	Speaker
0:37:13	0:37:22	"I just have this feeling that there is a kind of recycling that happens to everything and that nothing really goes anywhere."	Speaker
0:37:35		"I feel lighter not carrying hatred."	Speaker
0:38:00	0:38:28	"I never thought I'd reach this age. I thought I would be dead by 30 either from suicide or assassination or homicide or something. So the last 26 years have felt like a miracle."	Speaker
0:38:44		Walker says she never imagined as a child she would be a writer.	Speaker
0:39:00	0:39:48	Walker says she's "thinking about singing" like she's observed people do in Mexico, for the sake of music.	Speaker
0:39:28		Walker says that she loves Mexico and visits frequently.	Speaker
0:40:02		Walker laughs.	Speaker
0:40:06		Walker says she feels "very at home" in Berkeley, CA.	Speaker
0:40:45		Walker says they are in Gussow's neighborhood upon hearing he lives on 10th Street.	Speaker
0:41:37	0:42:45	Walker describes life at her house and studio in Mendecino, CA, where she goes to retreat from city life.	Speaker
0:42:43		Walker says she "dreams really well" at her country home.	Speaker
0:43:00	0:43:37	Walker "confesses" that she now writes on a laptop and names its advantages.	Speaker
0:43:39	0:43:55	But she says she was "really attached" to writing on legal pads, which she got from her ex-husband, a lawyer, during their marriage.	Speaker
0:44:16		Walker says she felt guilty about owning large homes after being rasied in poverty, which prompted her to invite guests to stay "in various parts".	Speaker
0:44:35		Walker says she's selling a home in Mexico.	Speaker
0:44:40		Walker laughs.	Speaker
0:45:02	0:46:04	On Walker's mother calling her "a mess" before she died: "It meant she was seeing me for the first time. The real me. Not the really super good girl. Because I ahve always been so polite and respectful... it was hard for my mother to ever—becasue seh wasn't an intellectual—it was hard for her to see that I was also subversive and rebellious.... on her death bed, she got it. That all these years she'd been dealing with someone who very much had her own mind."	Speaker
0:46:23		Walker mentions what she calls her mother's "fundamentalism".	Speaker
0:47:25		Walker laughs.	Speaker
0:05:54	0:06:08	A phone rings.	Environment
0:06:48	0:07:10	Prolonged sound of ice moving in a glass—perhaps Walker stirs her tea.	Environment
0:13:30	0:13:32	Prolonged sound of ice moving in a glass—perhaps Walker stirs her tea.	Environment
0:20:40	0:20:42	The waiter tries to clear away the food, but is stopped by Gussow and Walker.	Environment
0:47:48	0:47:48	The tape abruptly stops; it has run out.	Technology
