time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation
1732		Walker laughs.
1735		"In a way it feels so good to keep things for myself."
1798		Gussow brings up an article Walker wrote "for <em>the Times</em> about meditation".
1768		Walker laughs.
1778		Walker laughs.
1781	1813	"I'm looking at the liveliness of your eyes, and I think [meditation] would do a lot. You're obviously really alive anyway, but meditation sort of fuels that. It helps it to really stay steady. And it gives you a little time each day to duck out so you can recharge that."
1815		Walker coughs.
1819		"Tell 'em Alice sent you."
1839	1842	"Violence and drugs are both really, in my opinion, really obsolete."
1860	1864	"Unless people start charging you for breathing, you can always afford [to meditate]."
1870		Walker attributes meditation to Indian and Asian culture.
1877		When asked if she hates anyone, Walker says no.
1886		Walker laughs.
1877	2264	Gussow and Walker discuss hatred.
1941	2084	Gussow and Walker discuss amnesty trials in post-apartheid South Africa; Walker says she doesn't think this practice "will work that well" because "it's too deep".
2001	2094	Walker talks about her experience viewing the film "Long Night's Journey Into Day".
2084		Walker mentions the film "Mississippi Burning".
2093	2108	"They're pathetic. That's the answer. I just can't hate people who don't have a clue."
2129		"It's an emotional mangling."
2149		"I know in this culture people think that this is the only lifetime we're here—I don't think so."
2158		Walker laughs.
2149	2242	Walker discusses her personal beliefs regarding life and death.
2175		Walker laughs.
2230		Walker laughs.
2233	2242	"I just have this feeling that there is a kind of recycling that happens to everything and that nothing really goes anywhere."
2255		"I feel lighter not carrying hatred."
2280	2308	"I never thought I'd reach this age. I thought I would be dead by 30 either from suicide or assassination or homicide or something. So the last 26 years have felt like a miracle."
2324		Walker says she never imagined as a child she would be a writer.
2340	2388	Walker says she's "thinking about singing" like she's observed people do in Mexico, for the sake of music.
2368		Walker says that she loves Mexico and visits frequently.
2402		Walker laughs.
2406		Walker says she feels "very at home" in Berkeley, CA.
2445		Walker says they are in Gussow's neighborhood upon hearing he lives on 10th Street.
2497	2565	Walker describes life at her house and studio in Mendecino, CA, where she goes to retreat from city life.
2563		Walker says she "dreams really well" at her country home.
2580	2617	Walker "confesses" that she now writes on a laptop and names its advantages.
2619	2635	But she says she was "really attached" to writing on legal pads, which she got from her ex-husband, a lawyer, during their marriage.
2656		Walker says she felt guilty about owning large homes after being rasied in poverty, which prompted her to invite guests to stay "in various parts".
2675		Walker says she's selling a home in Mexico.
2680		Walker laughs.
2702	2764	On Walker's mother calling her "a mess" before she died: "It meant she was seeing me for the first time. The real me. Not the really super good girl. Because I ahve always been so polite and respectful... it was hard for my mother to ever—becasue seh wasn't an intellectual—it was hard for her to see that I was also subversive and rebellious.... on her death bed, she got it. That all these years she'd been dealing with someone who very much had her own mind."
2783		Walker mentions what she calls her mother's "fundamentalism".
2845		Walker laughs.
